user_id,recency,frequency,monetary,R,F,M,RFM,,,R,F,M,#,segment,propotion
49200,7,6,5930.693069,4,1,1,411,,,,,,,,
49204,35,1,3000,3,1,1,311,,,,,,,,
49210,120,102,705.8823529,1,4,1,141,,,,,,,,
49212,40,3,5236.842105,3,1,1,311,,,,,,,,
49225,49,2,2250,3,1,1,311,,,,,,,,
49306,108,9,346.1538462,1,1,1,111,,,,,,,,
49308,106,1,4500,1,1,1,111,,,,,,,,
49357,16,10,2666.666667,4,1,1,411,,,,,,,,
49370,21,2,18718.75,3,1,1,311,,,,,,,,
49411,114,32,142.8571429,1,3,1,131,,,,,,,,
49436,12,1,375,4,1,1,411,,,,,,,,
49438,119,20,9950,1,2,1,121,,,,,,,,
49511,37,6,8940.298507,3,1,1,311,,,,,,,,
49512,10,6,9108.910891,4,1,1,411,,,,,,,,
49528,11,19,1865.030675,4,2,1,421,,,,,,,,
49533,92,4,9950,1,1,1,111,,,,,,,,
49568,68,4,7107.142857,2,1,1,211,,,,,,,,
49579,4,27,1240.165631,4,3,1,431,,,,,,,,
49602,74,5,12571.42857,2,1,1,211,,,,,,,,
49610,102,22,5940.298507,1,2,1,121,,,,,,,,
49618,13,7,3929.133858,4,1,1,411,,,,,,,,
49620,43,6,681.8181818,3,1,1,311,,,,,,,,
49628,4,36,925.8114374,4,3,1,431,,,,,,,,
49644,20,2,1038.461538,3,1,1,311,,,,,,,,
49647,14,7,2495.238095,4,1,1,411,,,,,,,,
49667,0,0,9000,4,1,1,411,,,,,,,,
49673,19,3,173.0769231,3,1,1,311,,,,,,,,
49698,9,6,99833.33333,4,1,2,412,,,,,,,,
49724,32,9,4830.645161,3,1,1,311,,,,,,,,
49743,33,12,3815.286624,3,2,1,321,,,,,,,,
49747,72,2,562.5,2,1,1,211,,,,,,,,
49753,39,12,1309.210526,3,2,1,321,,,,,,,,
49766,99,2,1285.714286,1,1,1,111,,,,,,,,
49776,2,28,1188.492063,4,3,1,431,,,,,,,,
49786,59,10,2010.10101,2,1,1,211,,,,,,,,
49787,63,19,52.63157895,2,2,1,221,,,,,,,,
49832,1,4,2487.5,4,1,1,411,,,,,,,,
49833,4,8,4218.309859,4,1,1,411,,,,,,,,
49836,0,0,23000,4,1,1,411,,,,,,,,
49850,97,11,4622.222222,1,2,1,121,,,,,,,,
49856,120,1,199000,1,1,2,112,,,,,,,,
49867,55,2,26533.33333,2,1,1,211,,,,,,,,
49880,18,4,10327.58621,4,1,1,411,,,,,,,,
49882,0,0,9000,4,1,1,411,,,,,,,,
49903,35,14,1099.447514,3,2,1,321,,,,,,,,
49914,32,4,21714.28571,3,1,1,311,,,,,,,,
49915,0,0,9000,4,1,1,411,,,,,,,,
49924,17,14,2353.773585,4,2,1,421,,,,,,,,
49930,0,0,9000,4,1,1,411,,,,,,,,
49933,7,13,1800.904977,4,2,1,421,,,,,,,,
49936,53,6,7500,2,1,1,211,,,,,,,,
49938,0,0,9000,4,1,1,411,,,,,,,,
49995,4,22,705.6737589,4,2,1,421,,,,,,,,
50005,3,30,936.2101313,4,3,1,431,,,,,,,,
50013,53,8,2163.043478,2,1,1,211,,,,,,,,
50043,72,19,1300.653595,2,2,1,221,,,,,,,,
50045,1,8,1421.428571,4,1,1,411,,,,,,,,
50055,11,16,1177.777778,4,2,1,421,,,,,,,,
50060,116,18,8514.285714,1,2,1,121,,,,,,,,
50090,8,9,2660.130719,4,1,1,411,,,,,,,,
50104,57,4,5685.714286,2,1,1,211,,,,,,,,
50133,1,6,3252.336449,4,1,1,411,,,,,,,,
50141,11,1,44222.22222,4,1,1,411,,,,,,,,
50150,12,10,2763.888889,4,1,1,411,,,,,,,,
50157,6,11,3835.897436,4,2,1,421,,,,,,,,
50164,3,17,2047.138047,4,2,1,421,,,,,,,,
50189,13,21,611.7647059,4,2,1,421,,,,,,,,
50190,47,8,4627.906977,3,1,1,311,,,,,,,,
50205,4,5,6400,4,1,1,411,,,,,,,,
50229,7,14,1467.213115,4,2,1,421,,,,,,,,
50238,3,19,952.0958084,4,2,1,421,,,,,,,,
50243,32,2,1687.5,3,1,1,311,,,,,,,,
